qwen/qwen2.5-32b-instruct,Qwen,Qwen2.5 32B Instruct,paid,
moonshotai/moonlight-16b-a3b-instruct:free,Moonshot AI,Moonlight 16B A3B Instruct (free),free,
nousresearch/deephermes-3-llama-3-8b-preview:free,Nous,DeepHermes 3 Llama 3 8B Preview (free),free,
openai/gpt-4.5-preview,OpenAI,GPT-4.5 (Preview),paid,
google/gemini-2.0-flash-lite-001,Google,Gemini 2.0 Flash Lite,paid,
anthropic/claude-3.7-sonnet:beta,Anthropic,Claude 3.7 Sonnet (self-moderated),paid,
anthropic/claude-3.7-sonnet,Anthropic,Claude 3.7 Sonnet,paid,
anthropic/claude-3.7-sonnet:thinking,Anthropic,Claude 3.7 Sonnet (thinking),paid,
perplexity/r1-1776,Perplexity,R1 1776,paid,
mistralai/mistral-saba,Mistral,Saba,paid,
cognitivecomputations/dolphin3.0-r1-mistral-24b:free,Dolphin3.0 R1 Mistral 24B (free),null,free,
cognitivecomputations/dolphin3.0-mistral-24b:free,Dolphin3.0 Mistral 24B (free),null,free,
meta-llama/llama-guard-3-8b,Llama Guard 3 8B,null,paid,
openai/o3-mini-high,OpenAI,o3 Mini High,paid,
allenai/llama-3.1-tulu-3-405b,Llama 3.1 Tulu 3 405B,null,paid,
deepseek/deepseek-r1-distill-llama-8b,DeepSeek,R1 Distill Llama 8B,paid,
google/gemini-2.0-flash-001,Google,Gemini Flash 2.0,paid,
google/gemini-2.0-flash-lite-preview-02-05:free,Google,Gemini Flash Lite 2.0 Preview (free),free,
google/gemini-2.0-pro-exp-02-05:free,Google,Gemini Pro 2.0 Experimental (free),free,
qwen/qwen-vl-plus:free,Qwen,Qwen VL Plus (free),free,
aion-labs/aion-1.0,AionLabs,Aion-1.0,paid,
aion-labs/aion-1.0-mini,AionLabs,Aion-1.0-Mini,paid,
aion-labs/aion-rp-llama-3.1-8b,AionLabs,Aion-RP 1.0 (8B),paid,
qwen/qwen-turbo,Qwen,Qwen-Turbo,paid,
qwen/qwen2.5-vl-72b-instruct:free,Qwen,Qwen2.5 VL 72B Instruct (free),free,
qwen/qwen2.5-vl-72b-instruct,Qwen,Qwen2.5 VL 72B Instruct,paid,
qwen/qwen-plus,Qwen,Qwen-Plus,paid,
qwen/qwen-max,Qwen,Qwen-Max ,paid,
openai/o3-mini,OpenAI,o3 Mini,paid,
deepseek/deepseek-r1-distill-qwen-1.5b,DeepSeek,R1 Distill Qwen 1.5B,paid,
mistralai/mistral-small-24b-instruct-2501:free,Mistral,Mistral Small 3 (free),free,
mistralai/mistral-small-24b-instruct-2501,Mistral,Mistral Small 3,paid,
deepseek/deepseek-r1-distill-qwen-32b,DeepSeek,R1 Distill Qwen 32B,paid,
deepseek/deepseek-r1-distill-qwen-14b,DeepSeek,R1 Distill Qwen 14B,paid,
perplexity/sonar-reasoning,Perplexity,Sonar Reasoning,paid,
perplexity/sonar,Perplexity,Sonar,paid,
liquid/lfm-7b,Liquid,LFM 7B,paid,
liquid/lfm-3b,Liquid,LFM 3B,paid,
deepseek/deepseek-r1-distill-llama-70b:free,DeepSeek,R1 Distill Llama 70B (free),free,
deepseek/deepseek-r1-distill-llama-70b,DeepSeek,R1 Distill Llama 70B,paid,
google/gemini-2.0-flash-thinking-exp:free,Google,Gemini 2.0 Flash Thinking Experimental 01-21 (free),free,
deepseek/deepseek-r1:free,DeepSeek,R1 (free),free,
deepseek/deepseek-r1,DeepSeek,R1,paid,
sophosympatheia/rogue-rose-103b-v0.2:free,Rogue Rose 103B v0.2 (free),null,free,
minimax/minimax-01,MiniMax,MiniMax-01,paid,
mistralai/codestral-2501,Mistral,Codestral 2501,paid,
microsoft/phi-4,Microsoft,Phi 4,paid,
sao10k/l3.1-70b-hanami-x1,Sao10K,Llama 3.1 70B Hanami x1,paid,
deepseek/deepseek-chat:free,DeepSeek,DeepSeek V3 (free),free,
deepseek/deepseek-chat,DeepSeek,DeepSeek V3,paid,
qwen/qvq-72b-preview,Qwen,QvQ 72B Preview,paid,
google/gemini-2.0-flash-thinking-exp-1219:free,Google,Gemini 2.0 Flash Thinking Experimental (free),free,
sao10k/l3.3-euryale-70b,Sao10K,Llama 3.3 Euryale 70B,paid,
openai/o1,OpenAI,o1,paid,
eva-unit-01/eva-llama-3.33-70b,EVA Llama 3.33 70B,null,paid,
x-ai/grok-2-vision-1212,xAI,Grok 2 Vision 1212,paid,
x-ai/grok-2-1212,xAI,Grok 2 1212,paid,
cohere/command-r7b-12-2024,Cohere,Command R7B (12-2024),paid,
google/gemini-2.0-flash-exp:free,Google,Gemini Flash 2.0 Experimental (free),free,
google/gemini-exp-1206:free,Google,Gemini Experimental 1206 (free),free,
meta-llama/llama-3.3-70b-instruct:free,Meta,Llama 3.3 70B Instruct (free),free,
meta-llama/llama-3.3-70b-instruct,Meta,Llama 3.3 70B Instruct,paid,
amazon/nova-lite-v1,Amazon,Nova Lite 1.0,paid,
amazon/nova-micro-v1,Amazon,Nova Micro 1.0,paid,
amazon/nova-pro-v1,Amazon,Nova Pro 1.0,paid,
qwen/qwq-32b-preview,Qwen,QwQ 32B Preview,paid,
google/learnlm-1.5-pro-experimental:free,Google,LearnLM 1.5 Pro Experimental (free),free,
eva-unit-01/eva-qwen-2.5-72b,EVA Qwen2.5 72B,null,paid,
openai/gpt-4o-2024-11-20,OpenAI,GPT-4o (2024-11-20),paid,
mistralai/mistral-large-2411,Mistral Large 2411,null,paid,
mistralai/mistral-large-2407,Mistral Large 2407,null,paid,
mistralai/pixtral-large-2411,Mistral,Pixtral Large 2411,paid,
x-ai/grok-vision-beta,xAI,Grok Vision Beta,paid,
infermatic/mn-inferor-12b,Infermatic,Mistral Nemo Inferor 12B,paid,
qwen/qwen-2.5-coder-32b-instruct:free,Qwen2.5 Coder 32B Instruct (free),null,free,
qwen/qwen-2.5-coder-32b-instruct,Qwen2.5 Coder 32B Instruct,null,paid,
raifle/sorcererlm-8x22b,SorcererLM 8x22B,null,paid,
eva-unit-01/eva-qwen-2.5-32b,EVA Qwen2.5 32B,null,paid,
thedrummer/unslopnemo-12b,Unslopnemo 12B,null,paid,
anthropic/claude-3.5-haiku-20241022:beta,Anthropic,Claude 3.5 Haiku (2024-10-22) (self-moderated),paid,
anthropic/claude-3.5-haiku-20241022,Anthropic,Claude 3.5 Haiku (2024-10-22),paid,
anthropic/claude-3.5-haiku:beta,Anthropic,Claude 3.5 Haiku (self-moderated),paid,
anthropic/claude-3.5-haiku,Anthropic,Claude 3.5 Haiku,paid,
neversleep/llama-3.1-lumimaid-70b,NeverSleep,Lumimaid v0.2 70B,paid,
anthracite-org/magnum-v4-72b,Magnum v4 72B,null,paid,
anthropic/claude-3.5-sonnet:beta,Anthropic,Claude 3.5 Sonnet (self-moderated),paid,
anthropic/claude-3.5-sonnet,Anthropic,Claude 3.5 Sonnet,paid,
x-ai/grok-beta,xAI,Grok Beta,paid,
mistralai/ministral-8b,Mistral,Ministral 8B,paid,
mistralai/ministral-3b,Mistral,Ministral 3B,paid,
qwen/qwen-2.5-7b-instruct,Qwen2.5 7B Instruct,null,paid,
nvidia/llama-3.1-nemotron-70b-instruct:free,NVIDIA,Llama 3.1 Nemotron 70B Instruct (free),free,
nvidia/llama-3.1-nemotron-70b-instruct,NVIDIA,Llama 3.1 Nemotron 70B Instruct,paid,
inflection/inflection-3-pi,Inflection,Inflection 3 Pi,paid,
inflection/inflection-3-productivity,Inflection,Inflection 3 Productivity,paid,
google/gemini-flash-1.5-8b,Google,Gemini Flash 1.5 8B,paid,
anthracite-org/magnum-v2-72b,Magnum v2 72B,null,paid,
liquid/lfm-40b,Liquid,LFM 40B MoE,paid,
